pair,mode,ans,wall_ms,arr_ms,fre_ms,builds,m,K,queries
3235_6444,off,0.015681996805762928732,25.56,0.0954,0.0589,24,2308,2308,2138
3235_6444,mask-only,0.015681996805762928732,25.11,0.3169,0.0582,24,2308,2308,2138
4769_84,on,0.09312668646895606861,1056.10,24.2620,170.4500,1036,104074,37750,37040
4769_84,off,0.09312668646895606861,1132.08,4.4736,284.6700,1036,104074,104074,101261
4769_84,mask-only,0.09312668646895606861,1180.60,18.4820,289.7800,1036,104074,104074,101261
9279_10248,on,0.026037554033195471626,153.62,2.4356,1.4156,97,11061,3327,2591
9279_10248,off,0.026037554033195471626,136.56,0.4506,2.2008,97,11061,11061,8528
9279_10248,mask-only,0.026037554033195471626,138.59,1.8421,2.2352,97,11061,11061,8528
1406_6571,on,0.022202730585689695042,161.63,4.5919,13.5680,178,19848,5507,4026
1406_6571,off,0.022202730585689695042,163.21,0.8306,24.1150,178,19848,19848,15346
1406_6571,mask-only,0.022202730585689695042,171.69,3.4225,24.5180,178,19848,19848,15346
13736_11294,on,0.070097255414780262894,658.69,17.3430,27.1770,767,79410,11948,11236
13736_11294,off,0.070097255414780262894,771.25,3.3729,178.1200,741,76851,76851,75949
13736_11294,mask-only,0.070097255414780262894,784.33,13.8950,176.2400,741,76851,76851,75949
10939_11649,on,0.096741691334991761209,755.44,21.8870,61.7440,983,101319,16451,16004
10939_11649,off,0.096741691334991761209,788.96,4.1431,127.3100,957,99045,99045,97741
10939_11649,mask-only,0.096741691334991761209,799.42,17.3860,126.2100,957,99045,99045,97741
507_5832,on,0.069266551655682073729,9.74,0.0000,0.0000,0,0,0,0
507_5832,off,0.069266551655682073729,9.93,0.0000,0.0000,0,0,0,0
507_5832,mask-only,0.069266551655682073729,10.40,0.0000,0.0000,0,0,0,0
15301_1221,on,0.0064270674035576107891,319.79,6.9257,49.0000,268,27688,10605,9787
15301_1221,off,0.0064270674035576107891,329.29,1.1653,70.5490,268,27688,27688,25601
15301_1221,mask-only,0.0064270674035576107891,335.82,5.1799,71.0980,268,27688,27688,25601
1100_13092,on,0.019302008191502368489,34.17,0.5730,0.0178,24,2630,270,231
1100_13092,off,0.019302008191502368489,34.05,0.1125,0.0518,24,2630,2630,2539
1100_13092,mask-only,0.019302008191502368489,35.68,0.3730,0.0523,24,2630,2630,2539
600_16573,on,0.022174195555769344451,75.68,0.1156,0.0013,4,361,44,44
600_16573,off,0.022174195555769344451,76.47,0.0558,0.0064,4,361,361,361
600_16573,mask-only,0.022174195555769344451,74.99,0.1047,0.0062,4,361,361,361
1039_6137,on,0.047244226486384960362,677.36,10.9080,38.1500,455,50926,7215,6582
1039_6137,off,0.047244226486384960362,551.21,1.6824,71.8020,338,38349,38349,36853
1039_6137,mask-only,0.047244226486384960362,554.57,6.7922,70.0970,338,38349,38349,36853
391_7752,on,0.057011869478572438363,195.05,2.0660,6.1783,81,9803,2654,1940
391_7752,off,0.057011869478572438363,199.04,0.2805,9.4697,57,6990,6990,5857
391_7752,mask-only,0.057011869478572438363,194.65,1.1945,9.4495,57,6990,6990,5857
9230_3285,on,0.012474720433145793444,275.09,7.4542,42.6080,349,32087,11329,9593
9230_3285,off,0.012474720433145793444,279.08,1.3707,59.0930,349,32087,32087,27388
9230_3285,mask-only,0.012474720433145793444,283.18,5.7448,58.8390,349,32087,32087,27388
3343_6420,on,0.0055558289022877935942,118.03,0.0000,0.0000,0,0,0,0
3343_6420,off,0.0055558289022877935942,105.94,0.0000,0.0000,0,0,0,0
3343_6420,mask-only,0.0055558289022877935942,104.17,0.0000,0.0000,0,0,0,0
3270_16464,on,0.015254167922597863458,265.01,9.0050,23.2830,409,38705,12098,11299
3270_16464,off,0.015254167922597863458,265.01,1.5594,38.9610,409,37338,37338,35451
3270_16464,mask-only,0.015254167922597863458,269.46,6.7315,39.1000,409,37338,37338,35451
13966_16217,on,0.075272415542938758692,218.79,5.5227,10.7320,303,23871,5149,4672
13966_16217,off,0.075272415542938758692,228.89,1.0834,29.6330,303,23871,23871,21893
13966_16217,mask-only,0.075272415542938758692,236.61,4.2422,29.9360,303,23871,23871,21893
7729_2141,on,0.016208313160674600595,62.95,1.0392,0.0898,51,5239,1568,933
7729_2141,off,0.016208313160674600595,60.90,0.1909,0.1350,51,5239,5239,3212
7729_2141,mask-only,0.016208313160674600595,64.14,0.7868,0.1430,51,5239,5239,3212
16510_6413,on,0.018650896061643863766,624.35,26.0050,64.2770,1150,118671,21713,20926
16510_6413,off,0.018650896061643863766,736.39,4.8656,199.5800,1150,118667,118667,114851
16510_6413,mask-only,0.018650896061643863766,759.81,20.7860,196.7200,1150,118667,118667,114851
15668_1509,on,0.022688394829341554382,510.38,10.6170,18.9050,412,45619,11009,10213
15668_1509,off,0.022688392137550660033,174.12,0.7269,11.5650,157,17602,17602,14652
15668_1509,mask-only,0.022688392137550660033,176.01,3.0118,11.5420,157,17602,17602,14652
3377_9182,on,0.077327159563043479373,868.89,18.8380,100.3300,833,84666,20444,19561
3377_9182,off,0.077327159563043479373,939.93,3.9031,187.4900,833,84666,84666,78788
3377_9182,mask-only,0.077327159563043479373,941.21,14.8390,184.2700,833,84666,84666,78788
15460_11607,on,0.094019418457719716731,1286.66,28.6840,129.7500,1049,127299,29656,29305
15460_11607,off,0.094019418457719716731,1328.28,5.5359,226.0900,1033,128735,128735,127583
15460_11607,mask-only,0.094019418457719716731,1375.83,23.2690,229.7600,1033,128735,128735,127583
14988_4860,on,0.12942694413165833911,1533.39,24.8850,208.0700,959,110085,23554,23018
14988_4860,off,0.12942694413165833911,1634.05,4.8497,348.3900,959,110085,110085,108093
14988_4860,mask-only,0.12942694413165833911,1668.24,19.8330,351.9200,959,110085,110085,108093
12005_6155,on,0.068329757972388577292,30.63,0.5767,0.1318,27,3075,594,479
12005_6155,off,0.068329757972388577292,29.19,0.1151,0.1649,27,3075,3075,2925
12005_6155,mask-only,0.068329757972388577292,30.54,0.4149,0.1683,27,3075,3075,2925
15479_9449,on,0.12456550291011225795,78.65,2.3171,8.9255,105,10274,3111,1927
15479_9449,off,0.12456550291011225795,80.80,0.3612,12.8150,79,8684,8684,6038
15479_9449,mask-only,0.12456550291011225795,80.52,1.5914,13.5340,79,8684,8684,6038
3155_12168,on,0.050820422552080579681,315.53,12.4550,18.8310,550,54493,15588,14927
3155_12168,off,0.050820422552080579681,316.99,2.3376,32.4990,550,54493,54493,51288
